code_muni;territorialidades;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32
4200754;alto bela vista;19,35;30,17;99,80;89,53;4;30;4,04;1191;2,37;16012,7121193297;8977094,0000000;6895;3841;11709;9,8;0,755;0,46;100,00;94,57;6,85;93,17;13,57;0,38;7,86;18,48;71,03;144,21;33,84;8,75;27,45;6,73;706,77
4201273;arabuta;31,71;31,17;99,90;78,79;6;22;4,04;2763;2,21;16474,7179372445;10908943,0000000;15470;7913;31810;11,2;0,733;0,45;99,08;97,40;5,39;101,15;12,33;0,43;7,77;17,10;54,64;136,73;24,78;6,19;22,10;8,28;944,07
4204301;concordia;86,07;79,95;99,72;95,97;85;199;4,20;40040;2,27;24378,4747094664;124373707,3200000;712633;349785;132547;10,5;0,800;0,46;99,72;93,70;12,59;97,47;8,16;0,36;2,68;9,15;83,45;171,55;48,86;14,19;54,44;8,77;1291,48
4207601;ipira;30,57;53,05;99,93;92,27;6;29;5,02;2758;0,55;10506,2245434623;10075095,7500000;13291;4567;17295;13,2;0,736;0,45;99,88;96,51;5,49;96,30;11,85;0,40;5,92;17,88;64,72;167,84;30,25;6,78;33,38;12,45;881,62
4207700;ipumirim;29,22;43,60;99,90;83,66;11;12;5,09;4290;0,94;22750,2045302625;14827619,2899999;53471;32182;43724;12,0;0,738;0,42;100,00;94,34;4,28;94,30;9,02;0,38;3,58;11,06;106,60;178,47;32,20;4,63;42,90;6,31;1149,34
4207809;irani;29,14;68,41;99,57;91,69;8;46;7,37;5135;4,14;12116,3999555269;15412108,1800000;36953;12904;33808;12,4;0,742;0,42;99,32;93,14;6,38;92,17;6,70;0,32;5,71;18,55;98,52;175,49;39,04;7,36;45,05;12,84;1053,54
4208005;ita;38,84;63,13;99,76;87,35;7;42;6,08;3695;1,57;20425,8466211480;29574082,1000000;48808;53156;26955;10,0;0,771;0,45;99,24;95,47;8,25;95,36;8,51;0,32;3,39;12,18;109,66;184,86;42,82;9,52;39,00;11,62;1027,49
4208609;jabora;21,14;39,72;100,00;74,31;2;12;7,29;2309;1,50;19489,4552314169;10454615,7000000;19024;5082;38246;16,5;0,732;0,45;98,76;93,57;6,46;92,99;10,89;0,42;5,61;13,81;81,43;157,88;30,53;8,14;29,96;11,88;1104,37
4209854;lindoia do sul;24,49;41,58;99,41;95,61;4;25;5,44;2685;0,40;18065,0350952365;11771299,4200000;23120;11775;29910;11,1;0,743;0,43;100,00;94,84;4,33;100,16;10,21;0,35;4,68;13,40;86,43;161,52;34,24;4,86;31,88;43,19;1131,45
4212601;peritiba;31,00;49,56;99,39;93,53;2;34;2,12;1891;0,84;15279,6945338032;8298528,2100000;14289;5992;14139;9,8;0,766;0,47;99,28;93,14;5,63;97,91;12,82;0,47;6,67;15,14;90,85;153,06;33,90;7,21;25,69;7,16;1119,21
4213104;piratuba;32,85;59,65;99,88;85,34;4;0;5,40;2707;1,78;98552,8951994560;24738079,6800000;35595;457020;12516;14,0;0,758;0,43;93,85;95,71;8,44;98,05;10,80;0,30;2,76;13,80;97,17;184,79;44,40;10,16;42,56;9,96;993,95
4213906;presidente castello branco;26,39;32,06;100,00;86,54;1;0;4,70;1137;0,69;15896,5655856793;7508750,6500000;5691;1465;12508;9,7;0,770;0,47;100,00;97,50;4,52;96,09;10,78;0,54;1,82;9,07;92,82;181,74;24,02;5,49;16,13;7,08;1400,64
4217501;seara;54,19;68,41;99,85;88,30;18;45;5,20;10499;1,35;28010,8688027646;29534335,9400000;170993;122119;82767;10,5;0,779;0,51;99,56;94,87;8,57;94,46;7,88;0,56;1,47;6,00;76,86;178,67;38,92;9,82;51,36;11,49;1670,28
4219606;xavantina;19,26;26,99;99,63;86,94;7;26;6,47;2728;0,32;21526,9857343872;10499977,2000000;20439;5982;50329;11,4;0,749;0,47;100,00;92,41;2,97;93,46;9,44;0,50;3,42;11,67;109,54;179,52;25,55;3,46;13,52;15,04;1181,12
