"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"1";4200101;"abelardo luz";43,97;81,85;82,98;10;36;13,56;5845;5,64;29469101,2317649;49331;10518;36749;22,4;0,579;0,72;88,19
"2";4200408;"agua doce";46,42;95,14;95,01;3;40;9,28;3105;5,34;14877126,2284339;16964;2759;18679;22;0,627;0,59;96,38
"3";4200507;"aguas de chapeco";38,08;94,62;84,46;2;NA;14,3;2705;2,56;9541652,99116338;9481;1487;11272;23,6;0,582;0,6;87,01
"4";4200556;"aguas frias";16,41;78,86;92,2;1;NA;9,43;1189;0,91;8134433,24651917;4752;687;4777;25,3;0,6;0,55;100
"5";4200754;"alto bela vista";25,83;99,14;93,76;2;NA;4,96;1001;2,31;10427287,0876619;4335;1977;5399;22,6;0,619;0,42;100
"6";4200804;"anchieta";34,25;97,53;89,34;2;21;11,31;3187;3,06;12942735,6781799;12568;3978;11508;24;0,563;0,46;96,51
"7";4201273;"arabuta";23,34;97,78;80,89;3;28;5,35;2363;2,79;11237283,6322401;7051;1196;10479;24,3;0,623;0,52;89,98
"8";4201653;"arvoredo";17,83;92,75;85,2;1;NA;17,34;1199;3,15;8643711,16915115;3899;574;4250;19;0,569;0,55;100
"9";4202081;"bandeirante";26,12;91,32;72,59;2;NA;12,6;1634;2,3;8292027,56580176;3853;691;4742;29,7;0,548;0,66;NA
"10";4202099;"barra bonita";12,09;100;72,42;2;NA;12,58;1100;1,22;7926931,70140993;3423;597;5122;29,7;0,543;0,38;70,85
"11";4202156;"belmonte";39,11;92,67;86,95;1;NA;10,96;1179;1,21;9066766,66896759;4944;642;5068;26,4;0,559;0,51;80,52
"12";4202537;"bom jesus";48,34;93,32;87,34;NA;NA;16;705;20,59;10264247,4958815;3944;426;5241;26,4;0,549;0,53;94,31
"13";4202578;"bom jesus do oeste";17,49;99,44;91,97;1;NA;7,47;1184;0,85;7843590,18599043;3940;561;4538;19;0,569;0,44;90,89
"14";4203105;"caibi";48,16;97,34;92,24;6;33;9,99;3257;4,13;11523309,8944831;16528;3860;12595;19,5;0,631;0,55;90,23
"15";4203501;"campo ere";55,6;89,86;82,59;7;124;16,62;4038;13,75;20032902,6947561;31456;9561;21162;26,9;0,56;0,59;81,15
"16";4203600;"campos novos";78,51;97,74;94,32;20;201;10,36;12010;6,75;61747606,8439909;119225;35934;67173;20,1;0,617;0,58;93,63
"17";4203907;"capinzal";77,47;98,89;98,24;11;85;6,65;8407;6,78;52146304,7419093;80146;170961;12567;17,9;0,628;0,48;97,73
"18";4204004;"catanduvas";63,97;99,41;95,8;5;36;10,08;3613;8,92;20075425,536079;35852;83993;5539;27,6;0,622;0,58;98,8
"19";4204103;"caxambu do sul";39,03;90,6;87,84;4;28;14,9;2392;2,25;12046325,312548;10389;1807;14011;22,8;0,623;0,68;80,21
"20";4204152;"celso ramos";17,46;96,37;90,78;1;NA;10,89;1126;1,34;12573688,5372027;4597;844;5063;28,1;0,562;0,4;92,84
"21";4204202;"chapeco";91,58;97,9;94,35;99;378;7,11;69977;10,13;318117535,823712;681701;620029;28658;20,4;0,682;0,57;96,83
"22";4204301;"concordia";71,77;99,38;95,29;65;175;5,92;31222;5,9;145491083,693161;277696;310327;54993;16,9;0,71;0,54;98,16
