"";"code_muni";"territorialidades";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"1";4200408;"agua doce";5,3;49,32;99,29;88,88;5;33;7,2;3545;2,23;28606,4824092439;14,7;0,698;0,54;99,85;2397,35168510272;6,37465881338888;5,70851889096394;13,2985203275391
"2";4200507;"aguas de chapeco";43,92;52,96;99,5;90,86;2;0;6,4;3261;2,33;26428,2131717467;15,5;0,713;0,44;96,24;2016,97536170213;5,9746317512275;12,3621931260229;3,66350245499182
"3";4200556;"aguas frias";32,25;40,47;99,28;88,67;2;0;9,09;1346;2,28;18869,4701474166;11,4;0,745;0,38;98,18;3379,56482673267;7,93976897689769;1,56229372937294;4,16006600660066
"4";4200754;"alto bela vista";19,35;30,17;99,8;89,53;4;30;4,04;1191;2,37;16012,7121193297;9,8;0,755;0,46;100;4477,3536159601;3,43890274314214;1,91571072319202;5,83990024937656
"5";4200804;"anchieta";27,91;40,53;99,74;92,97;2;21;7,21;3604;2,72;17121,863168235;16,6;0,699;0,44;100;1604,18340752351;5,36175548589342;4,24310344827586;3,38887147335423
"6";4201273;"arabuta";31,71;31,17;99,9;78,79;6;22;4,04;2763;2,21;16474,7179372445;11,2;0,733;0,45;99,08;2601,70355354162;3,68948247078464;1,88719294061531;7,5864536131648
"7";4201653;"arvoredo";24,91;22,17;99,92;79,17;1;0;9,87;1433;0,7;16608,1082505877;12,9;0,715;0,36;100;3577,07610619469;2,99159292035398;1,43318584070796;8,88672566371681
"8";4202081;"bandeirante";19,87;32,04;99,78;90,43;1;0;8,92;1499;0,88;9487,14536821635;17,1;0,672;0,4;89,33;2547,21380935995;1,5726083964212;0,498279421885754;4,10013764624914
"9";4202099;"barra bonita";20,09;14,86;100;93,93;2;0;13,57;1052;NA;12951,5980664437;13,9;0,701;0,4;100;3509,52086794462;1,80670926517572;0,711927582534611;6,58945686900958
"10";4202156;"belmonte";28,15;48,31;100;89,38;1;0;9,39;1539;2,19;10296,3435367088;14,8;0,705;0,45;93,77;2817,45535863378;2,35142314990512;0,723719165085389;3,55180265654649
