code_muni;territorialidades;densidade_demografica;percent_pop_urbana;percent_domc_energia_eletrica;perc_domc_abstecimento_agua;num_estab_saude;num_leitos_estab_saude;taxa_analfabetismo;pop_economicamente_ativa;taxa_desocupacao;pib_percapta;vab_servicos;vab_industria;vab_agropecuaria;taxa_mortalidade_infantil;idhm;ig;perc_coleta_lixo
4200408;agua doce;5,30;49,32;99,29;88,88;5;33;7,20;3545;2,23;28606,48240924390;44374;39737;92571;14,7;0,698;0,54;99,85
4200507;aguas de chapeco;43,92;52,96;99,50;90,86;2;0;6,40;3261;2,33;26428,21317174670;36505;75533;22384;15,5;0,713;0,44;96,24
4200556;aguas frias;32,25;40,47;99,28;88,67;2;0;9,09;1346;2,28;18869,47014741660;19246;3787;10084;11,4;0,745;0,38;98,18
4200754;alto bela vista;19,35;30,17;99,80;89,53;4;30;4,04;1191;2,37;16012,71211932970;6895;3841;11709;9,8;0,755;0,46;100,00
4200804;anchieta;27,91;40,53;99,74;92,97;2;21;7,21;3604;2,72;17121,86316823500;34208;27071;21621;16,6;0,699;0,44;100,00
4201273;arabuta;31,71;31,17;99,90;78,79;6;22;4,04;2763;2,21;16474,71793724450;15470;7913;31810;11,2;0,733;0,45;99,08
4201653;arvoredo;24,91;22,17;99,92;79,17;1;0;9,87;1433;0,70;16608,10825058770;6761;3239;20084;12,9;0,715;0,36;100,00
4202081;bandeirante;19,87;32,04;99,78;90,43;1;0;8,92;1499;0,88;9487,14536821635;4570;1448;11915;17,1;0,672;0,40;89,33
4202099;barra bonita;20,09;14,86;100,00;93,93;2;0;13,57;1052;NA;12951,59806644370;3393;1337;12375;13,9;0,701;0,40;100,00
4202156;belmonte;28,15;48,31;100,00;89,38;1;0;9,39;1539;2,19;10296,34353670880;6196;1907;9359;14,8;0,705;0,45;93,77
4202537;bom jesus;39,75;59,18;99,64;94,13;1;0;10,55;1221;2,02;17041,48740372040;16906;4011;13420;14,2;0,718;0,55;99,29
4202578;bom jesus do oeste;31,40;30,35;100,00;95,68;1;0;7,16;1337;0,93;30065,75244348130;18399;19038;12958;13,8;0,712;0,39;100,00
4203105;caibi;36,22;57,53;99,74;82,92;6;33;8,39;3659;0,84;15893,26190184740;32219;16361;27244;13,8;0,728;0,44;96,07
4203501;campo ere;19,57;66,72;98,42;93,27;7;50;12,94;4700;4,62;20768,27946387250;78459;31562;43055;17,9;0,690;0,51;95,60
4203600;campos novos;19,09;82,45;99,92;95,59;21;171;6,64;16030;3,58;35319,55424564690;305181;610262;197031;11,4;0,742;0,46;99,36
4203907;capinzal;85,15;85,48;99,98;94,93;15;136;5,59;11093;3,37;20746,00882659890;176788;107651;45118;10,8;0,752;0,45;99,77
4204004;catanduvas;48,25;84,71;99,58;96,75;4;31;6,17;4651;3,09;19447,25165376930;70090;37137;31134;16,0;0,714;0,47;99,04
4204103;caxambu do sul;31,38;48,86;98,44;82,22;4;29;10,77;2673;1,64;22583,81624675680;28342;21202;28084;10,7;0,691;0,50;99,21
4204152;celso ramos;13,36;31,47;99,77;90,49;3;0;8,69;1301;0,15;12465,34997823250;7865;3458;13129;14,2;0,719;0,39;100,00
4204202;chapeco;293,98;91,60;99,75;92,46;117;394;4,45;103239;3,87;24839,97078456580;2361302;1073571;115657;10,6;0,790;0,48;99,65
4204301;concordia;86,07;79,95;99,72;95,97;85;199;4,20;40040;2,27;24378,47470946640;712633;349785;132547;10,5;0,800;0,46;99,72
4204350;cordilheira alta;44,97;38,44;100,00;59,21;2;0;4,86;2217;3,40;50058,82576342480;106614;24442;16179;11,8;0,747;0,39;85,80
4204400;coronel freitas;43,62;59,40;99,62;92,68;4;28;8,30;5772;1,76;15080,22536982690;43948;29598;45883;11,4;0,744;0,40;97,88
4204459;coronel martins;22,88;27,87;98,33;79,27;2;0;11,43;1076;1,05;10177,01596511950;5285;1226;9598;15,1;0,696;0,44;99,14
4204707;cunha pora;48,18;61,42;99,43;93,63;8;50;4,88;6586;1,80;38821,35502355840;174896;121854;34215;16,2;0,742;0,38;98,47
4204756;cunhatai;34,53;30,23;99,92;93,28;1;0;3,95;1204;0,26;12573,14599099720;5429;1165;10489;9,5;0,754;0,46;95,02
4204905;descanso;30,23;49,77;99,53;89,13;3;30;5,41;5442;2,17;13362,43888330250;41697;9973;34912;11,9;0,743;0,43;94,86
4205001;dionisio cerqueira;39,21;68,81;97,24;95,20;10;50;10,18;6572;4,14;12876,16212865740;78938;9455;30101;14,8;0,706;0,53;96,15
4205175;entre rios;28,70;30,75;96,78;82,92;1;0;14,93;1369;0,54;8058,91544288090;5174;1063;9223;15,8;0,657;0,44;80,85
4205209;erval velho;21,00;65,30;99,78;88,63;2;32;7,53;2116;2,80;15024,36254787150;18604;7179;25043;10,8;0,723;0,47;95,78
4205308;faxinal dos guedes;31,39;72,39;99,96;88,03;6;48;6,97;5476;2,20;30522,43288622290;72855;129416;61791;11,2;0,758;0,49;99,43
4205357;flor do sertao;27,05;20,65;98,93;98,39;1;0;11,97;966;0,50;10740,55512842440;3354;867;6537;17,3;0,708;0,48;100,00
4205431;formosa do sul;26,12;41,68;100,00;83,40;1;0;7,72;1279;0,17;11008,93809307170;6688;1453;10958;12,6;0,715;0,42;100,00
4205605;galvao;28,48;67,60;99,35;93,20;3;21;14,28;1726;3,16;22358,36520668240;26391;19191;12892;15,2;0,708;0,45;96,74
4206405;guaraciaba;31,75;46,90;100,00;88,68;6;43;6,59;6605;1,67;15520,73446102440;52866;33498;37206;10,6;0,751;0,47;94,50
4206603;guaruja do sul;48,82;54,10;99,74;97,30;2;15;6,33;2727;4,73;13844,61078424680;28112;7228;11597;13,6;0,730;0,40;97,81
4206652;guatambu;22,85;37,38;99,65;86,71;2;0;10,21;2348;2,46;38084,95831771570;61711;45685;33578;14,5;0,717;0,45;97,33
4206702;herval d'oeste;97,95;88,76;99,85;95,87;9;0;4,81;10970;2,73;14978,14577442660;121940;93756;21753;11,6;0,758;0,42;99,85
4206801;ibicare;21,61;46,16;100,00;91,55;2;42;6,73;1771;2,93;14836,83037855870;14360;3604;19557;14,2;0,708;0,43;100,00
4207601;ipira;30,57;53,05;99,93;92,27;6;29;5,02;2758;0,55;10506,22454346230;13291;4567;17295;13,2;0,736;0,45;99,88
4207650;ipora do oeste;41,55;49,02;100,00;94,61;4;23;3,34;5066;1,47;14408,09993676560;39682;8749;44740;12,5;0,759;0,43;98,31
4207684;ipuacu;26,01;20,26;94,18;58,41;5;0;11,07;2554;1,43;16175,54919507820;34451;25633;20925;17,6;0,660;0,61;97,93
4207700;ipumirim;29,22;43,60;99,90;83,66;11;12;5,09;4290;0,94;22750,20453026250;53471;32182;43724;12,0;0,738;0,42;100,00
4207759;iraceminha;25,87;34,52;100,00;87,64;3;0;7,10;2579;0,45;12714,86143744040;12640;3170;24433;12,6;0,722;0,43;87,15
4207809;irani;29,14;68,41;99,57;91,69;8;46;7,37;5135;4,14;12116,39995552690;36953;12904;33808;12,4;0,742;0,42;99,32
4207858;irati;27,04;21,42;99,58;97,28;2;0;11,56;992;0,54;30802,92552497480;18424;26041;6321;13,4;0,707;0,45;97,71
4208005;ita;38,84;63,13;99,76;87,35;7;42;6,08;3695;1,57;20425,84662114800;48808;53156;26955;10,0;0,771;0,45;99,24
4208401;itapiranga;55,01;49,43;99,97;96,22;11;54;3,28;8920;1,52;22924,76270041230;135330;83163;55831;12,9;0,775;0,45;99,21
4208609;jabora;21,14;39,72;100,00;74,31;2;12;7,29;2309;1,50;19489,45523141690;19024;5082;38246;16,5;0,732;0,45;98,76
4208955;jardinopolis;25,93;45,24;99,93;93,84;1;0;8,99;989;2,45;15423,98727462980;4696;1143;14006;14,5;0,709;0,40;100,00
4209003;joacaba;116,29;92,24;100,00;97,25;37;166;3,17;15799;4,10;34504,11650812650;506141;182380;42351;9,2;0,827;0,54;99,40
4209177;jupia;23,42;48,60;98,41;94,06;1;0;10,18;1030;2,47;12017,78323793890;5486;2273;9740;11,3;0,719;0,55;91,49
4209201;lacerdopolis;32,12;52,75;100,00;72,11;2;0;5,41;1256;1,30;35457,77097580750;24947;20180;16429;9,8;0,781;0,39;99,49
4209458;lajeado grande;22,60;43,49;98,94;76,47;1;0;7,39;758;0,40;15229,39161650160;3535;1673;10398;11,6;0,771;0,44;98,85
4209854;lindoia do sul;24,49;41,58;99,41;95,61;4;25;5,44;2685;0,40;18065,03509523650;23120;11775;29910;11,1;0,743;0,43;100,00
4210035;luzerna;47,93;76,05;99,95;93,42;2;0;2,16;3131;1,62;17703,96389160250;36098;27448;11391;10,2;0,789;0,43;99,81
4210506;maravilha;130,43;81,84;99,97;92,66;15;78;4,98;12642;2,57;28488,95224409220;270410;187257;28155;9,5;0,781;0,45;99,20
4210555;marema;21,26;34,50;100,00;51,95;1;0;8,42;1220;0,29;30160,49894419780;18614;18053;17032;11,3;0,743;0,41;100,00
4210902;modelo;43,63;66,55;100,00;95,13;4;30;6,67;2402;0,83;23020,78623476960;33552;26406;11757;9,5;0,760;0,43;96,56
4211009;mondai;50,91;61,63;99,76;88,96;9;45;4,55;6283;1,70;25087,07063132970;56907;106223;42047;10,3;0,748;0,40;98,67
4211405;nova erechim;66,38;75,11;99,95;98,20;2;33;5,77;2581;0,86;18898,36295014000;24859;17568;20726;12,2;0,765;0,44;97,51
4211454;nova itaberaba;31,01;35,86;99,59;73,24;0;0;9,14;2210;1,35;22362,96525689080;23701;23844;25769;10,3;0,736;0,55;86,19
4211652;novo horizonte;18,13;33,49;99,54;85,66;1;0;12,99;1771;0,62;16586,36295995390;12032;4503;17890;12,5;0,706;0,39;81,48
4211850;ouro verde;12,00;31,48;99,29;90,76;1;0;11,69;826;1,31;19729,35681433720;11013;2390;20990;17,6;0,695;0,53;90,51
4211876;paial;20,56;19,06;99,44;94,34;1;0;9,23;1013;0,23;12555,61833165990;4045;1021;10234;12,4;0,718;0,44;100,00
4212007;palma sola;23,40;57,54;99,11;93,77;6;43;8,97;4221;3,02;16951,56777868740;39222;20503;42690;16,6;0,704;0,50;99,00
4212106;palmitos;45,68;61,62;99,63;94,99;12;72;6,89;9205;2,11;20291,89034535780;116486;36013;107291;13,4;0,737;0,46;96,23
4212239;paraiso;22,84;35,56;99,57;88,44;2;0;11,07;2273;1,90;18342,10239155380;21479;19597;14393;13,6;0,700;0,50;89,10
4212270;passos maia;7,20;24,84;99,25;85,69;5;0;9,75;2217;0,54;22178,79875068300;24151;27239;24393;15,8;0,659;0,47;99,11
4212601;peritiba;31,00;49,56;99,39;93,53;2;34;2,12;1891;0,84;15279,69453380320;14289;5992;14139;9,8;0,766;0,47;99,28
4212908;pinhalzinho;127,30;83,36;99,90;96,12;4;0;4,95;9693;2,79;33596,49587588620;213813;192416;26000;9,5;0,783;0,43;99,44
4213104;piratuba;32,85;59,65;99,88;85,34;4;0;5,40;2707;1,78;98552,89519945600;35595;457020;12516;14,0;0,758;0,43;93,85
4213153;planalto alegre;42,37;40,20;99,61;91,17;1;0;11,98;1533;0,58;25447,16516794190;20211;19498;11470;9,9;0,751;0,42;95,15
4213401;ponte serrada;19,56;69,11;98,97;86,21;12;60;9,66;5204;3,65;13982,67894345990;58637;17474;38802;17,6;0,693;0,44;99,32
4213906;presidente castello branco;26,39;32,06;100,00;86,54;1;0;4,70;1137;0,69;15896,56558567930;5691;1465;12508;9,7;0,770;0,47;100,00
